,brand,model,model_year,milage,fuel_type,transmission,ext_col,int_col,accident,clean_title,price,data_year
1402,Lincoln,Nautilus Reserve,2021,18160,Gasoline,8-Speed Automatic,Silver Radiance,Slate,False,No,46850,2023
1403,Jaguar,XF XFR-S,2013,4279,Gasoline,8-Speed A/T,White,Black,No,No,70000,2023
1404,Mercedes-Benz,Sprinter Normal Roof,2013,39748,Diesel,A/T,Silver,Black,True,Yes,54995,2023
1405,Toyota,Land Cruiser Base,1998,160000,Gasoline,4-Speed A/T,White,Beige,True,Yes,12490,2023
1406,Toyota,Tacoma PreRunner,2013,65000,Gasoline,A/T,Silver,Gray,False,Yes,20500,2023
1407,BMW,Z4 sDrive28i,2016,59000,Gasoline,8-Speed A/T,Black,Beige,False,Yes,25000,2023
1408,BMW,530e Base,2022,22700,Plug-In Hybrid,A/T,White,Black,False,Yes,47000,2023
1409,Mercedes-Benz,GLA 250 Base 4MATIC,2018,56578,E85 Flex Fuel,7-Speed A/T,White,Black,False,Yes,20900,2023
1410,Hyundai,Genesis 4.6,2010,153332,Gasoline,Transmission w/Dual Shift Mode,Silver,Black,True,Yes,10000,2023
1411,Cadillac,ATS 3.6L Luxury,2013,89700,Gasoline,6-Speed A/T,Black,Red,False,Yes,17999,2023
1412,Lincoln,Town Car Signature,2002,118600,Gasoline,A/T,Black,Gray,True,Yes,5230,2023
1413,GMC,Sierra 1500 SLT,2021,23400,Gasoline,A/T,Black,Black,False,Yes,52000,2023
1414,Mercedes-Benz,Sprinter High Roof,2015,110000,Diesel,A/T,White,Gray,False,Yes,29000,2023
1415,Jaguar,XJ Vanden Plas,2008,87888,Gasoline,6-Speed A/T,Black,Black,False,Yes,11990,2023
1416,Lexus,RC 350 Base,2015,73800,Gasoline,6-Speed Automatic,Black,Black,False,No,26999,2023
1417,Audi,S3 2.0T Premium Plus,2015,78124,Gasoline,6-Speed A/T,Blue,Black,False,Yes,21500,2023
1418,Subaru,WRX Limited,2015,91000,Gasoline,6-Speed M/T,Red,Black,True,Yes,19000,2023
1419,Dodge,Ram 2500 SLT Quad Cab,2003,114000,Gasoline,5-Speed A/T,White,Beige,True,Yes,10700,2023
1420,Subaru,WRX Limited,2015,76000,Gasoline,6-Speed M/T,Blue,Black,False,Yes,21000,2023
1421,Audi,RS 4 4.2 quattro L,2008,146500,Gasoline,6-Speed M/T,Red,Black,True,Yes,30000,2023
1422,Porsche,911 Carrera,2007,26021,Gasoline,6-Speed M/T,Silver,Gray,False,Yes,53999,2023
1423,Audi,A4 2.0T Premium Plus,2015,73000,E85 Flex Fuel,A/T,Black,Black,True,Yes,17200,2023
1424,Audi,A4 3.2 Premium Plus quattro,2009,153000,Gasoline,6-Speed A/T,Gray,Beige,False,Yes,8700,2023
1425,Ford,Excursion Limited,2003,67550,Diesel,5-Speed A/T,Gold,Beige,False,Yes,30000,2023
